"","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"1",1,"Paytm Payments Bank",642.43,639.410579,2.698206,0.192729,0.192729
"2",2,"State Bank Of India",535.44,515.62872,2.516568,16.545096,0.749616
"4",4,"Icici Bank",323.98,321.06418,2.689034,0.032398,0.16199
"5",5,"Axis Bank Ltd",292.54,289.205044,1.111652,0.760604,1.4627
"6",6,"Hdfc Bank Ltd",199.42,195.23218,3.769038,0.159536,0.239304
"7",7,"Bank Of Baroda",124.5,123.69075,0.61005,0.08715,0.11205
"8",8,"Union Bank Of India",96.44,94.906604,0.704012,0.298964,0.53042
"9",9,"Canara Bank",95,93.2995,1.0165,0.5225,0.171
"10",10,"Punjab National Bank",93.26,86.77843,0.615516,4.05681,1.809244
"12",12,"Kotak Mahindra Bank",76.74,75.266592,1.204818,0.11511,0.161154
"51",1,"Paytm Payments Bank",666.34,663.0083,2.532092,0.732974,0.066634
"52",2,"State Bank Of India",527,507.2375,2.3188,16.9167,0.527
"54",4,"Icici Bank",333.14,329.575402,2.098782,0.133256,1.33256
"55",5,"Axis Bank Ltd",291.08,288.60582,1.193428,0.43662,0.844132
"56",6,"Hdfc Bank Ltd",202.31,198.971885,3.257191,0.040462,0.040462
"57",7,"Bank Of Baroda",128.63,127.845357,0.578835,0.090041,0.115767
"58",8,"Union Bank Of India",107.01,105.222933,1.348326,0.203319,0.235422
"59",9,"Canara Bank",98.7,97.40703,0.99687,0.0987,0.1974
"60",10,"Punjab National Bank",96.96,95.418336,0.659328,0.378144,0.504192
"62",12,"Kotak Mahindra Bank",79.24,77.37786,1.172752,0.063392,0.625996
"101",1,"Paytm Payments Bank",783.61,779.848672,3.212801,0.470166,0.078361
"102",2,"State Bank Of India",596.38,590.774028,2.564434,1.968054,1.073484
"104",4,"Icici Bank",374.23,371.311006,2.582187,0.149692,0.187115
"105",5,"Axis Bank Ltd",333.11,330.012077,1.065952,0.799464,1.232507
"106",6,"Hdfc Bank Ltd",241.54,237.337204,3.574792,0.48308,0.144924
"107",7,"Bank Of Baroda",147.47,145.420167,0.707856,0.796338,0.545639
"108",8,"Union Bank Of India",140.8,139.40608,0.74624,0.12672,0.52096
"109",9,"Punjab National Bank",111.94,104.686288,0.682834,5.518642,1.052236
"110",10,"Canara Bank",110.73,109.334802,1.173738,0.066438,0.155022
"111",11,"Kotak Mahindra Bank",97.01,95.001893,1.232027,0.058206,0.717874
"151",1,"Paytm Payments Bank",797.69,793.222936,3.110991,1.356073,0.079769
"152",2,"State Bank Of India",595.02,585.856692,2.142072,6.84273,0.178506
"154",4,"Icici Bank",366.71,363.372939,2.456957,0.696749,0.183355
"155",5,"Axis Bank Ltd",331.52,329.829248,1.193472,0,0.49728
"156",6,"Hdfc Bank Ltd",227.66,224.495526,3.050644,0.068298,0.045532
"157",7,"Bank Of Baroda",144.71,142.741944,0.738021,0.622253,0.607782
"158",8,"Union Bank Of India",142.58,141.268264,0.798448,0.256644,0.242386
"159",9,"Canara Bank",111.26,109.902628,1.123726,0.133512,0.100134
"160",10,"Punjab National Bank",109.33,107.1434,0.645047,1.071434,0.470119
"161",11,"Kotak Mahindra Bank",93.07,91.376126,1.135454,0.223368,0.335052
"201",1,"Paytm Payments Bank",926.17,914.963343,4.723467,5.649637,0.833553
"202",2,"State Bank Of India",664.89,617.01792,3.124983,43.21785,1.529247
"204",4,"Icici Bank",389.47,386.315293,2.843131,0.194735,0.116841
"205",5,"Axis Bank Ltd",366.14,364.272686,1.794086,0,0.073228
"206",6,"Hdfc Bank Ltd",247.03,243.299847,3.334905,0.222327,0.172921
"207",7,"Bank Of Baroda",160.55,159.5867,0.73853,0.06422,0.16055
"208",8,"Union Bank Of India",158.92,157.775776,0.858168,0.095352,0.190704
"209",9,"Canara Bank",124.53,123.209982,1.207941,0.049812,0.062265
"210",10,"Punjab National Bank",117.29,111.437229,0.914862,4.128608,0.809301
"212",12,"Kotak Mahindra Bank",94.93,93.259232,1.072709,0.132902,0.465157
"251",1,"Paytm Payments Bank",957.39,950.401053,6.605991,0.382956,0.095739
"252",2,"State Bank Of India",647.8,638.66602,3.239,4.98806,0.90692
"254",4,"Icici Bank",378.39,374.870973,2.951442,0.151356,0.454068
"255",5,"Axis Bank Ltd",353.13,351.399663,1.553772,0,0.176565
"256",6,"Hdfc Bank Ltd",246.23,242.314943,3.324105,0.147738,0.418591
"257",7,"Bank Of Baroda",161.69,160.39648,0.759943,0.210197,0.32338
"258",8,"Union Bank Of India",157.03,155.255561,0.989289,0.251248,0.549605
"259",9,"Canara Bank",122.3,120.62449,1.18631,0.30575,0.17122
"260",10,"Punjab National Bank",114.09,112.15047,0.810039,0.718767,0.422133
"262",12,"Kotak Mahindra Bank",94.65,93.334365,1.15473,0.028395,0.13251
"301",1,"Paytm Payments Bank",980.72,977.875912,2.647944,0.098072,0.098072
"302",2,"State Bank Of India",618.15,604.79796,2.287155,8.15958,2.905305
"304",4,"Axis Bank Ltd",338.97,337.749708,0.779631,0.101691,0.33897
"305",5,"Icici Bank",291.95,288.56338,2.715135,0.496315,0.204365
"306",6,"Hdfc Bank Ltd",238.45,235.469375,2.67064,0.14307,0.19076
"307",7,"Bank Of Baroda",160.4,158.69976,0.62556,0.62556,0.44912
"308",8,"Union Bank Of India",154.66,153.051536,0.726902,0.340252,0.525844
"309",9,"Canara Bank",121.04,119.938536,0.956216,0.072624,0.084728
"310",10,"Punjab National Bank",112.52,110.562152,0.652616,0.978924,0.326308
"313",13,"Kotak Mahindra Bank",92.4,90.80148,0.693,0.11088,0.7854
"351",1,"Paytm Payments Bank",1210.84,1207.691816,3.0271,0,0
"352",2,"State Bank Of India",737.53,730.375959,2.581355,3.245132,1.327554
"354",4,"Axis Bank Ltd",413.31,409.920858,2.355867,0.082662,0.950613
"355",5,"Icici Bank",291.67,288.694966,2.012523,0.758342,0.175002
"356",6,"Hdfc Bank Ltd",275.06,272.061846,2.530552,0.082518,0.385084
"357",7,"Bank Of Baroda",191.67,189.7533,0.920016,0.76668,0.230004
"358",8,"Union Bank Of India",179.59,177.165535,0.610606,1.490597,0.323262
"359",9,"Canara Bank",142.52,139.755112,0.983388,1.040396,0.741104
"360",10,"Punjab National Bank",133.47,131.361174,0.734085,1.094454,0.280287
"361",11,"Kotak Mahindra Bank",115.13,113.034634,0.771371,0.253286,1.059196
"401",1,"Paytm Payments Bank",1265.52,1262.103096,3.416904,0.126552,0
"403",3,"State Bank Of India",741.1,726.64855,2.2233,9.04142,3.11262
"404",4,"Axis Bank Ltd",408.62,401.591736,5.10775,0.245172,1.675342
"405",5,"Icici Bank",406.5,401.1342,1.7073,2.2764,1.3821
"406",6,"Hdfc Bank Ltd",278.39,274.631735,2.22712,1.085721,0.445424
"407",7,"Bank Of Baroda",194.47,193.400415,0.661198,0.19447,0.213917
"408",8,"Union Bank Of India",187.25,186.369925,0.543025,0.131075,0.2247
"409",9,"Canara Bank",142.04,139.41226,0.767016,0.767016,1.093708
"410",10,"Punjab National Bank",137.97,136.576503,0.731241,0.496692,0.165564
"411",11,"Kotak Mahindra Bank",133.77,130.706667,0.80262,0.963144,1.297569
"451",1,"Paytm Payments Bank",1363.19,1358.418835,4.771165,0.136319,0
"453",3,"State Bank Of India",771.93,759.193155,2.238597,8.722809,1.775439
"454",4,"Axis Bank Ltd",450.07,448.944825,0.765119,0.225035,0.135021
"455",5,"Icici Bank",432,429.4944,1.7712,0.3888,0.3456
"456",6,"Hdfc Bank Ltd",299.84,297.14144,2.368736,0.209888,0.119936
"457",7,"Bank Of Baroda",204.05,202.66246,0.69377,0.32648,0.387695
"458",8,"Union Bank Of India",197.66,196.592636,0.69181,0.256958,0.118596
"459",9,"Canara Bank",146.64,141.595584,0.7332,3.636672,0.65988
"460",10,"Punjab National Bank",144.15,142.16073,0.706335,0.92256,0.34596
"461",11,"Kotak Mahindra Bank",127.46,125.191212,0.675538,0.968696,0.624554
"501",1,"Paytm Payments Bank",1370.06,1365.401796,4.384192,0.411018,0
"502",2,"State Bank Of India",764.66,733.079542,2.217514,27.833624,1.605786
"504",4,"Axis Bank Ltd",483.14,479.27488,0.72471,2.608956,0.531454
"505",5,"Icici Bank",414.15,411.91359,1.698015,0.41415,0.124245
"506",6,"Hdfc Bank Ltd",302.98,300.798544,1.999668,0.121192,0.060596
"507",7,"Bank Of Baroda",202.6,200.41192,0.74962,0.54702,0.89144
"508",8,"Union Bank Of India",197.7,194.87289,0.55356,1.79907,0.47448
"509",9,"Canara Bank",148.36,146.831892,0.771472,0.608276,0.14836
"510",10,"Punjab National Bank",142.4,140.49184,0.74048,0.86864,0.29904
"512",12,"Kotak Mahindra Bank",120.07,118.893314,0.72042,0.276161,0.180105
"551",1,"Paytm Payments Bank",1469.6,1462.10504,7.20104,0.29392,0
"553",3,"State Bank Of India",802.56,796.94208,2.247168,2.487936,0.882816
"554",4,"Axis Bank Ltd",498.78,487.208304,5.336946,4.937922,1.24695
"555",5,"Icici Bank",449.31,446.659071,1.752309,0.584103,0.314517
"556",6,"Hdfc Bank Ltd",328.73,326.42889,2.038126,0.197238,0.065746
"557",7,"Bank Of Baroda",214.14,211.184868,0.74949,1.948674,0.278382
"558",8,"Union Bank Of India",206.94,206.050158,0.600126,0.20694,0.082776
"559",9,"Canara Bank",156.6,154.12572,0.79866,1.11186,0.56376
"560",10,"Punjab National Bank",147.86,145.242878,0.768872,1.197666,0.635798
"562",12,"Kotak Mahindra Bank",131.98,129.195222,0.79188,1.346196,0.646702
"601",1,"Paytm Payments Bank",1504.63,1501.470277,3.159723,0,0
"603",3,"State Bank Of India",818.72,810.450928,2.210544,5.976656,1.964928
"604",4,"Axis Bank Ltd",489.54,481.168866,5.580756,2.790378,1.517574
"605",5,"Icici Bank",456.96,454.766592,1.690752,0.502656,1.188096
"606",6,"Hdfc Bank Ltd",339.5,335.39205,2.20675,1.93515,0.5432
"607",7,"Bank Of Baroda",221.98,221.158674,0.710336,0.11099,0.133188
"608",8,"Union Bank Of India",212.56,210.349376,0.616424,1.572944,0.276328
"609",9,"Canara Bank",160.51,159.001206,0.722295,0.786499,0.304969
"610",10,"Punjab National Bank",155.25,152.79705,0.729675,1.723275,0.450225
"612",12,"Kotak Mahindra Bank",138.54,136.642002,0.803532,1.094466,0.748116
"651",1,"Paytm Payments Bank",1536.46,1532.311558,3.994796,0.153646,0
"653",3,"State Bank Of India",841.59,823.664133,2.188134,15.737733,0.925749
"654",4,"Axis Bank Ltd",504.89,503.678264,0.959291,0.252445,0.151467
"655",5,"Icici Bank",455.34,452.243688,1.82136,1.274952,0.68301
"656",6,"Hdfc Bank Ltd",350.77,347.192146,3.402469,0.175385,0.175385
"657",7,"Bank Of Baroda",225.52,224.685576,0.67656,0.157864,0.293176
"658",8,"Union Bank Of India",213.97,211.423757,0.620513,1.904333,0.470734
"659",9,"Canara Bank",162.67,159.595537,0.666947,2.407516,0.634413
"660",10,"Punjab National Bank",158.47,154.730108,1.045902,2.69399,0.554645
"662",12,"Kotak Mahindra Bank",141.75,140.36085,0.8505,0.53865,0.4536
"701",1,"Paytm Payments Bank",1614.03,1608.703701,5.326299,0.161403,0
"703",3,"State Bank Of India",889.56,879.77484,2.045988,7.205436,0.44478
"704",4,"Axis Bank Ltd",542.37,541.773393,0.488133,0.054237,0.054237
"705",5,"Icici Bank",492.94,489.588008,1.675996,1.281644,0.394352
"706",6,"Hdfc Bank Ltd",373.7,370.7104,2.46642,0.3737,0.14948
"707",7,"Bank Of Baroda",240.33,238.863987,0.624858,0.672924,0.168231
"708",8,"Union Bank Of India",227.13,224.222736,0.635964,1.862466,0.408834
"709",9,"Canara Bank",172.3,171.40404,0.6892,0.10338,0.08615
"710",10,"Punjab National Bank",167.71,165.311747,0.955947,0.872092,0.570214
"712",12,"Kotak Mahindra Bank",154.56,153.416256,0.958272,0.108192,0.07728
"751",1,"Paytm Payments Bank",1617.99,1612.003437,4.368573,1.294392,0.323598
"753",3,"State Bank Of India",877.76,869.596832,1.931072,5.529888,0.702208
"754",4,"Axis Bank Ltd",541.43,540.455426,0.595573,0.216572,0.162429
"755",5,"Icici Bank",493.34,489.88662,1.776024,1.381352,0.345338
"756",6,"Hdfc Bank Ltd",361.21,358.392562,2.383986,0.288968,0.144484
"757",7,"Bank Of Baroda",233.63,232.672117,0.607438,0.23363,0.116815
"758",8,"Union Bank Of India",226.28,224.80918,0.633584,0.656212,0.181024
"759",9,"Canara Bank",173.68,171.283216,0.746824,1.250496,0.416832
"761",11,"Punjab National Bank",163.42,158.304954,0.947836,3.006928,1.160282
"762",12,"Kotak Mahindra Bank",150.77,149.337685,0.889543,0.407079,0.135693
"801",1,"Paytm Payments Bank",1726.94,1721.931874,3.799268,1.036164,0.345388
"803",3,"State Bank Of India",938.15,918.63648,1.970115,16.042365,1.50104
"804",4,"Axis Bank Ltd",562.51,561.216227,0.675012,0.281255,0.337506
"805",5,"Icici Bank",543.27,537.185376,2.064426,3.857217,0.217308
"806",6,"Hdfc Bank Ltd",384.38,379.459936,2.344718,1.960338,0.653446
"807",7,"Bank Of Baroda",249.01,235.438955,0.946238,11.429559,1.195248
"808",8,"Union Bank Of India",242.13,239.611848,0.653751,1.404354,0.460047
"809",9,"Canara Bank",185.71,184.242891,0.798553,0.445704,0.222852
"811",11,"Punjab National Bank",174.36,171.343572,1.447188,1.237956,0.331284
"812",12,"Kotak Mahindra Bank",157.66,153.891926,0.804066,2.569858,0.39415
"851",1,"Paytm Payments Bank",1765.87,1761.102151,4.238088,0.353174,0.176587
"853",3,"State Bank Of India",931.08,917.300016,2.048376,10.148772,1.582836
"854",4,"Axis Bank Ltd",557.09,556.087238,0.612799,0.278545,0.111418
"855",5,"Icici Bank",554.66,548.669672,1.885844,3.771688,0.27733
"856",6,"Hdfc Bank Ltd",401.11,397.700565,2.366549,0.80222,0.240666
"857",7,"Bank Of Baroda",247.34,244.594526,0.692552,1.11303,0.915158
"858",8,"Union Bank Of India",241.58,240.299626,0.579792,0.48316,0.217422
"859",9,"Canara Bank",186.89,185.712593,0.598048,0.411158,0.168201
"861",11,"Punjab National Bank",176.63,173.821583,0.830161,1.642659,0.35326
"862",12,"Kotak Mahindra Bank",170.88,168.897792,0.8544,0.615168,0.51264
"901",1,"Paytm Payments Bank",1657.41,1653.432216,3.480561,0.331482,0.165741
"903",3,"State Bank Of India",855.15,821.029515,2.22339,29.0751,2.821995
"904",4,"Icici Bank",528.24,525.86292,1.58472,0.581064,0.211296
"905",5,"Axis Bank Ltd",516.94,516.061202,0.723716,0.051694,0.103388
"906",6,"Hdfc Bank Ltd",379.92,376.842648,2.393496,0.341928,0.341928
"907",7,"Bank Of Baroda",236.71,233.112008,0.970511,2.248745,0.378736
"908",8,"Union Bank Of India",227.08,224.309624,0.522284,1.498728,0.749364
"909",9,"Canara Bank",176.74,175.520494,0,1.007418,0.212088
"910",10,"Punjab National Bank",171.55,170.160445,0.75482,0.30879,0.30879
"912",12,"Kotak Mahindra Bank",162.23,159.536982,0.924711,0.794927,0.97338
"951",1,"Paytm Payments Bank",1921.46,1915.311328,4.611504,1.152876,0.384292
"953",3,"State Bank Of India",972.24,954.934128,2.041704,13.708584,1.652808
"954",4,"Icici Bank",601.02,590.562252,1.442448,6.370812,2.644488
"955",5,"Axis Bank Ltd",599.56,596.082552,1.378988,1.378988,0.719472
"956",6,"Hdfc Bank Ltd",443.88,438.819768,2.352564,1.864296,0.843372
"957",7,"Bank Of Baroda",267.27,265.880196,0.454359,0.694902,0.26727
"958",8,"Union Bank Of India",258.29,256.766089,0.439093,0.77487,0.284119
"959",9,"Canara Bank",201.82,200.952174,0,0.666006,0.20182
"960",10,"Punjab National Bank",199.08,197.805888,0.716688,0.139356,0.418068
"962",12,"Kotak Mahindra Bank",186.19,183.062008,0.800617,1.638472,0.688903
"1001",1,"Paytm Payments Bank",1973.67,1968.341091,4.539441,0.789468,0
"1003",3,"State Bank Of India",966.28,947.630796,2.029188,14.300944,2.222444
"1004",4,"Axis Bank Ltd",636.48,635.652576,0.572832,0.063648,0.190944
"1005",5,"Icici Bank",590.66,588.120162,1.417584,0.59066,0.472528
"1006",6,"Hdfc Bank Ltd",443.16,439.747668,2.2158,1.019268,0.177264
"1007",7,"Bank Of Baroda",269.46,268.1127,0.377244,0.431136,0.511974
"1008",8,"Union Bank Of India",260.41,257.910064,0.416656,1.927034,0.156246
"1009",9,"Punjab National Bank",203.59,201.635536,0.692206,0.794001,0.488616
"1011",11,"Canara Bank",202.15,200.41151,0.222365,0.60645,0.909675
"1012",12,"Kotak Mahindra Bank",198.71,193.662766,0.774969,3.278715,0.973679
"1051",1,"Paytm Payments Bank",2122.5,2118.04275,4.245,0,0.21225
"1053",3,"State Bank Of India",1021.12,1014.584832,2.450688,3.369696,0.612672
"1054",4,"Axis Bank Ltd",664.41,663.74559,0.597969,0.066441,0
"1055",5,"Icici Bank",624.05,616.31178,3.931515,2.433795,1.37291
"1056",6,"Hdfc Bank Ltd",475.3,472.02043,2.70921,0.28518,0.33271
"1057",7,"Bank Of Baroda",278.65,276.14215,0.61303,1.699765,0.195055
"1058",8,"Union Bank Of India",271.63,270.380502,0.488934,0.461771,0.298793
"1060",10,"Punjab National Bank",212.79,210.981285,0.787323,0.468138,0.531975
"1061",11,"Canara Bank",210.04,208.212652,0.399076,1.008192,0.399076
"1062",12,"Kotak Mahindra Bank",203.15,198.619755,0.954805,2.11276,1.46268
"1101",1,"Paytm Payments Bank",2177.68,2173.106872,4.35536,0.217768,0
"1103",3,"State Bank Of India",1017.11,1013.651826,1.932509,1.322243,0.203422
"1104",4,"Axis Bank Ltd",644.25,642.7038,0.708675,0.5154,0.2577
"1105",5,"Icici Bank",591.75,584.1756,1.479375,4.4973,1.597725
"1106",6,"Hdfc Bank Ltd",479.17,476.342897,2.300016,0.335419,0.191668
"1107",7,"Bank Of Baroda",274.76,273.770864,0.439616,0.329712,0.219808
"1108",8,"Union Bank Of India",267.39,266.775003,0.427824,0.160434,0.053478
"1110",10,"Punjab National Bank",211.61,209.790154,0.825279,0.592508,0.402059
"1111",11,"Canara Bank",209.8,206.94672,0.90214,1.34272,0.60842
"1112",12,"Kotak Mahindra Bank",187.61,182.206832,0.769201,2.757867,1.8761
"1151",1,"Paytm Payments Bank",2331.83,2327.632706,3.964111,0.233183,0
"1153",3,"State Bank Of India",1070.51,1062.374124,1.926918,6.208958,0.642306
"1154",4,"Axis Bank Ltd",688.05,687.293145,0.619245,0.13761,0.27522
"1155",5,"Icici Bank",627.95,626.631305,0.62795,0.75354,0.313975
"1156",6,"Hdfc Bank Ltd",510.54,506.813058,3.31851,0.408432,0.153162
"1157",7,"Bank Of Baroda",290.12,288.901496,0.7253,0.493204,0.406168
"1158",8,"Union Bank Of India",279.02,278.350352,0.41853,0.223216,0.083706
"1160",10,"Canara Bank",223.29,220.811481,0.960147,1.518372,0.513567
"1161",11,"Punjab National Bank",222.99,221.585163,0.936558,0.44598,0.423681
"1162",12,"Kotak Mahindra Bank",200.84,197.42572,2.972432,0.441848,0.120504
"1201",1,"Paytm Payments Bank",2505.7,2501.18974,3.25741,1.25285,0
"1203",3,"State Bank Of India",1114.59,1104.447231,2.006262,8.136507,2.786475
"1204",4,"Axis Bank Ltd",733.96,732.565476,0.954148,0.440376,0.513772
"1205",5,"Icici Bank",630.09,625.868397,1.953279,2.268324,1.008144
"1206",6,"Hdfc Bank Ltd",530.64,527.084712,3.130776,0.424512,0.371448
"1207",7,"Bank Of Baroda",308.67,303.237408,0.524739,4.907853,0.524739
"1208",8,"Union Bank Of India",295.91,293.83863,0.473456,1.597914,0.621411
"1210",10,"Punjab National Bank",234.84,231.035592,1.080264,2.724144,0.540132
"1211",11,"Canara Bank",235.33,233.494426,0.988386,0.847188,0.352995
"1212",12,"Kotak Mahindra Bank",215.21,214.198513,0.925403,0.064563,0.064563
"1251",1,"Paytm Payments Bank",2482.89,2479.662243,2.979468,0.248289,0.248289
"1253",3,"State Bank Of India",1118.01,1113.761562,2.012418,2.23602,0.447204
"1254",4,"Axis Bank Ltd",731.82,727.06317,2.56137,2.19546,0.878184
"1255",5,"Icici Bank",625.87,622.678063,2.50348,0.688457,0.187761
"1256",6,"Hdfc Bank Ltd",508.57,503.687728,2.847992,2.03428,0.762855
"1257",7,"Bank Of Baroda",301.81,299.878416,1.026154,0.90543,0.211267
"1258",8,"Union Bank Of India",292.91,290.596011,0.527238,1.786751,0.380783
"1260",10,"Punjab National Bank",236.23,234.907112,0.992166,0.330722,0.141738
"1261",11,"Canara Bank",234.42,232.89627,1.008006,0.515724,0.281304
"1262",12,"Kotak Mahindra Bank",215.88,214.541544,0.97146,0.345408,0.280644
"1301",1,"Paytm Payments Bank",2709.07,2705.548209,2.979977,0.541814,0
"1303",3,"State Bank Of India",1183.73,1151.295798,3.314444,29.119758,4.853293
"1304",4,"Axis Bank Ltd",798.18,796.024914,1.755996,0.39909,0.239454
"1305",5,"Icici Bank",651.16,646.471648,3.190684,1.497668,0.520928
"1306",6,"Hdfc Bank Ltd",535.56,532.293084,2.6778,0.589116,0.321336
"1307",7,"Bank Of Baroda",326.93,320.685637,2.746212,3.498151,0.523088
"1308",8,"Union Bank Of India",314.34,311.102298,0.754416,2.51472,0.691548
"1310",10,"Punjab National Bank",256.32,253.859328,1.15344,1.332864,0.563904
"1311",11,"Canara Bank",252.42,250.501608,1.287342,0.63105,0.37863
"1312",12,"Kotak Mahindra Bank",237.72,234.724728,1.521408,1.473864,0.404124
"1351",1,"Paytm Payments Bank",2617.76,2615.14224,2.094208,0.261776,0
"1353",3,"State Bank Of India",1163.73,1153.838295,3.142071,6.749634,0.698238
"1354",4,"Axis Bank Ltd",856.15,852.04048,2.91091,1.284225,0.599305
"1355",5,"Icici Bank",651.71,647.017688,3.91026,0.782052,0.065171
"1356",6,"Hdfc Bank Ltd",508.67,505.058443,3.306355,0.305202,0.203468
"1357",7,"Bank Of Baroda",317.76,315.948768,1.525248,0.285984,0.31776
"1358",8,"Union Bank Of India",310.09,308.694595,0.775225,0.62018,0.372108
"1360",10,"Punjab National Bank",254.47,252.917733,1.196009,0.356258,0.610728
"1361",11,"Canara Bank",252.28,249.88334,1.337084,1.059576,0.327964
"1362",12,"Kotak Mahindra Bank",219.84,218.323104,1.406976,0.10992,0.131904
"1401",1,"Paytm Payments Bank",2835.27,2832.43473,1.984689,0.850581,0
"1403",3,"State Bank Of India",1252.21,1245.94895,2.379199,3.75663,0.876547
"1404",4,"Axis Bank Ltd",967.52,966.55248,0.870768,0.096752,0.096752
"1405",5,"Icici Bank",647.97,643.822992,3.110256,1.036752,0.453579
"1406",6,"Hdfc Bank Ltd",549.41,537.32298,11.702433,0.329646,0.274705
"1407",7,"Bank Of Baroda",333.64,331.371248,0.8341,1.434652,0.433732
"1408",8,"Union Bank Of India",326.55,324.884595,0.620445,1.077615,0.84903
"1410",10,"Punjab National Bank",270.17,268.575997,1.377867,0.216136,0.297187
"1411",11,"Canara Bank",268.75,266.22375,1.800625,0.725625,0.3225
"1412",12,"Kotak Mahindra Bank",233.06,231.381968,1.072076,0.605956,0.512732
"1451",1,"Paytm Payments Bank",2851.38,2848.52862,1.995966,0.855414,0
"1453",3,"State Bank Of India",1306.23,1301.527572,2.351214,2.351214,0.522492
"1454",4,"Axis Bank Ltd",1008.43,1006.009768,1.815174,0.605058,1.00843
"1455",5,"Icici Bank",647.71,643.953282,3.497634,0.259084,0.129542
"1456",6,"Hdfc Bank Ltd",549.54,539.64828,9.671904,0.219816,0.054954
"1457",7,"Bank Of Baroda",336.93,336.25614,0.572781,0.101079,0.134772
"1458",8,"Union Bank Of India",324.67,321.4233,0.551939,2.727228,1.201279
"1460",10,"Punjab National Bank",271.75,270.364075,1.03265,0.353275,0.625025
"1461",11,"Canara Bank",268.36,264.146748,3.48868,0.751408,0.456212
"1462",12,"Kotak Mahindra Bank",236.42,233.133762,1.111174,2.175064,0.922038
